class,ensembl,gene_symbol
stable_across_states,ENSG00000138758,SEPT11
stable_across_states,ENSG00000139613,SMARCC2
stable_across_states,ENSG00000139629,GALNT6
stable_across_states,ENSG00000139641,ESYT1
stable_across_states,ENSG00000140598,EFTUD1
stable_across_states,ENSG00000140694,PARN
stable_across_states,ENSG00000140968,IRF8
stable_across_states,ENSG00000143157,POGK
stable_across_states,ENSG00000143365,RORC
stable_across_states,ENSG00000143374,TARS2
stable_across_states,ENSG00000143437,ARNT
stable_across_states,ENSG00000143493,INTS7
stable_across_states,ENSG00000143578,CREB3L4
stable_across_states,ENSG00000143799,PARP1
stable_across_states,ENSG00000144036,EXOC6B
stable_across_states,ENSG00000144468,RHBDD1
stable_across_states,ENSG00000145220,LYAR
stable_across_states,ENSG00000145833,DDX46
stable_across_states,ENSG00000145996,CDKAL1
stable_across_states,ENSG00000146085,MUT
stable_across_states,ENSG00000147130,ZMYM3
stable_across_states,ENSG00000147140,NONO
stable_across_states,ENSG00000147144,CCDC120
stable_across_states,ENSG00000148843,PDCD11
stable_across_states,ENSG00000149136,SSRP1
stable_across_states,ENSG00000149428,HYOU1
stable_across_states,ENSG00000149639,SOGA1
stable_across_states,ENSG00000151779,NBAS
stable_across_states,ENSG00000151914,DST
stable_across_states,ENSG00000151952,TMEM132D
stable_across_states,ENSG00000152127,MGAT5
stable_across_states,ENSG00000153201,RANBP2
stable_across_states,ENSG00000154309,DISP1
stable_across_states,ENSG00000155561,NUP205
stable_across_states,ENSG00000156253,RWDD2B
stable_across_states,ENSG00000156304,SCAF4
stable_across_states,ENSG00000156709,AIFM1
stable_across_states,ENSG00000158417,EIF5B
stable_across_states,ENSG00000158528,PPP1R9A
stable_across_states,ENSG00000159128,IFNGR2
stable_across_states,ENSG00000159708,LRRC36
stable_across_states,ENSG00000159921,GNE
stable_across_states,ENSG00000160194,NDUFV3
stable_across_states,ENSG00000160293,VAV2
stable_across_states,ENSG00000160439,RDH13
stable_across_states,ENSG00000160602,NEK8
stable_across_states,ENSG00000160685,ZBTB7B
stable_across_states,ENSG00000160785,SLC25A44
stable_across_states,ENSG00000160789,LMNA
stable_across_states,ENSG00000162909,CAPN2
stable_across_states,ENSG00000163214,DHX57
stable_across_states,ENSG00000163399,ATP1A1
stable_across_states,ENSG00000163629,PTPN13
stable_across_states,ENSG00000163686,ABHD6
stable_across_states,ENSG00000163687,DNASE1L3
stable_across_states,ENSG00000164037,SLC9B1
stable_across_states,ENSG00000164465,DCBLD1
stable_across_states,ENSG00000165688,PMPCA
stable_across_states,ENSG00000165698,C9orf9
stable_across_states,ENSG00000165733,BMS1
stable_across_states,ENSG00000166224,SGPL1
stable_across_states,ENSG00000166780,C16orf45
stable_across_states,ENSG00000166886,NAB2
stable_across_states,ENSG00000167434,CA4
stable_across_states,ENSG00000167601,AXL
stable_across_states,ENSG00000167721,TSR1
stable_across_states,ENSG00000167881,SRP68
stable_across_states,ENSG00000167986,DDB1
stable_across_states,ENSG00000168003,SLC3A2
stable_across_states,ENSG00000168386,FILIP1L
stable_across_states,ENSG00000168710,AHCYL1
stable_across_states,ENSG00000168872,DDX19A
stable_across_states,ENSG00000169105,CHST14
stable_across_states,ENSG00000169375,SIN3A
stable_across_states,ENSG00000170445,HARS
stable_across_states,ENSG00000170542,SERPINB9
stable_across_states,ENSG00000171603,CLSTN1
stable_across_states,ENSG00000171700,RGS19
stable_across_states,ENSG00000171723,GPHN
stable_across_states,ENSG00000171824,EXOSC10
stable_across_states,ENSG00000172269,DPAGT1
stable_across_states,ENSG00000173230,GOLGB1
stable_across_states,ENSG00000173402,DAG1
stable_across_states,ENSG00000173473,SMARCC1
stable_across_states,ENSG00000173692,PSMD1
stable_across_states,ENSG00000173905,GOLIM4
stable_across_states,ENSG00000174231,PRPF8
stable_across_states,ENSG00000175198,PCCA
stable_across_states,ENSG00000175216,CKAP5
stable_across_states,ENSG00000175567,UCP2
stable_across_states,ENSG00000176986,SEC24C
stable_across_states,ENSG00000180316,PNPLA1
stable_across_states,ENSG00000180596,HIST1H2BC
stable_across_states,ENSG00000182362,YBEY
stable_across_states,ENSG00000182606,TRAK1
stable_across_states,ENSG00000182809,CRIP2
stable_across_states,ENSG00000182973,CNOT10
stable_across_states,ENSG00000183337,BCOR
stable_across_states,ENSG00000184708,EIF4ENIF1
stable_across_states,ENSG00000185024,BRF1
stable_across_states,ENSG00000185201,IFITM2
stable_across_states,ENSG00000185527,PDE6G
stable_across_states,ENSG00000185668,POU3F1
stable_across_states,ENSG00000187456,ENSG00000187456
stable_across_states,ENSG00000187555,USP7
stable_across_states,ENSG00000188613,NANOS1
stable_across_states,ENSG00000188976,NOC2L
stable_across_states,ENSG00000189091,SF3B3
stable_across_states,ENSG00000196358,NTNG2
stable_across_states,ENSG00000196557,CACNA1H
stable_across_states,ENSG00000197021,CXorf40B
stable_across_states,ENSG00000197102,DYNC1H1
stable_across_states,ENSG00000197157,SND1
stable_across_states,ENSG00000197694,SPTAN1
stable_across_states,ENSG00000197956,S100A6
stable_across_states,ENSG00000198420,FAM115A
stable_across_states,ENSG00000198518,ENSG00000198518
stable_across_states,ENSG00000198589,LRBA
stable_across_states,ENSG00000198736,MSRB1
stable_across_states,ENSG00000203814,HIST2H2BF
stable_across_states,ENSG00000204084,INPP5B
stable_across_states,ENSG00000204120,GIGYF2
stable_across_states,ENSG00000204574,ABCF1
stable_across_states,ENSG00000213903,LTB4R
stable_across_states,ENSG00000213937,CLDN9
stable_across_states,ENSG00000214212,C19orf38
stable_across_states,ENSG00000215421,ZNF407
stable_across_states,ENSG00000221869,CEBPD
stable_across_states,ENSG00000224397,LINC01272
stable_across_states,ENSG00000224997,ENSG00000224997
stable_across_states,ENSG00000227345,PARG
stable_across_states,ENSG00000254470,AP5B1
stable_across_states,ENSG00000273270,RP11-212P7.2
pre_treatment_only,ENSG00000004399,PLXND1
pre_treatment_only,ENSG00000010610,CD4
pre_treatment_only,ENSG00000028277,POU2F2
pre_treatment_only,ENSG00000044574,HSPA5
pre_treatment_only,ENSG00000065989,PDE4A
pre_treatment_only,ENSG00000069329,VPS35
pre_treatment_only,ENSG00000082641,NFE2L1
pre_treatment_only,ENSG00000090863,GLG1
pre_treatment_only,ENSG00000093072,CECR1
pre_treatment_only,ENSG00000099875,MKNK2
pre_treatment_only,ENSG00000100077,ADRBK2
pre_treatment_only,ENSG00000100304,TTLL12
pre_treatment_only,ENSG00000100350,FOXRED2
pre_treatment_only,ENSG00000100906,NFKBIA
pre_treatment_only,ENSG00000102854,MSLN
pre_treatment_only,ENSG00000103227,LMF1
pre_treatment_only,ENSG00000103544,C16orf62
pre_treatment_only,ENSG00000106078,COBL
pre_treatment_only,ENSG00000108883,EFTUD2
pre_treatment_only,ENSG00000117385,LEPRE1
pre_treatment_only,ENSG00000122218,COPA
pre_treatment_only,ENSG00000122223,CD244
pre_treatment_only,ENSG00000124214,STAU1
pre_treatment_only,ENSG00000124780,KCNK17
pre_treatment_only,ENSG00000125844,RRBP1
pre_treatment_only,ENSG00000127418,FGFRL1
pre_treatment_only,ENSG00000130643,CALY
pre_treatment_only,ENSG00000131504,DIAPH1
pre_treatment_only,ENSG00000132792,CTNNBL1
pre_treatment_only,ENSG00000134256,CD101
pre_treatment_only,ENSG00000135457,TFCP2
pre_treatment_only,ENSG00000136193,SCRN1
pre_treatment_only,ENSG00000138678,AGPAT9
pre_treatment_only,ENSG00000139626,ITGB7
pre_treatment_only,ENSG00000140553,UNC45A
pre_treatment_only,ENSG00000148814,LRRC27
pre_treatment_only,ENSG00000152939,MARVELD2
pre_treatment_only,ENSG00000154914,USP43
pre_treatment_only,ENSG00000158545,ZC3H18
