arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000140396,NCOA2,-0.048488901092086145,0.6512954631546446,0.8061304241514671,5.729909813763529,5.778398714855615
DX,Pre-treatment,ENSG00000116544,DLGAP3,-0.1057053971453139,0.6512954631546446,0.8061304241514671,1.2080469285380577,1.3137523256833716
DX,Pre-treatment,ENSG00000272523,LINC01023,0.026309372793365593,0.6512954631546446,0.8061304241514671,0.4375316440568938,0.4112222712635282
DX,Pre-treatment,ENSG00000184634,MED12,-0.01882639756779625,0.6512954631546446,0.8061304241514671,6.095757017917969,6.1145834154857654
DX,Pre-treatment,ENSG00000272763,RP11-357H14.17,0.051671406529139485,0.6512954631546446,0.8061304241514671,0.49267038508496697,0.4409989785558275
DX,Pre-treatment,ENSG00000163840,DTX3L,-0.008733389011728043,0.6512954631546446,0.8061304241514671,7.792377716364873,7.801111105376601
DX,Pre-treatment,ENSG00000171451,DSEL,-0.10553817654709163,0.6512954631546446,0.8061304241514671,0.9067173984819111,1.0122555750290028
DX,Pre-treatment,ENSG00000129646,QRICH2,0.05074055894414187,0.6512954631546446,0.8061304241514671,1.789509300766618,1.7387687418224762
DX,Pre-treatment,ENSG00000163694,RBM47,0.09896406680683256,0.6512954631546446,0.8061304241514671,6.8575090070644515,6.758544940257619
DX,Pre-treatment,ENSG00000179021,C3orf38,0.06900031871265266,0.6512954631546446,0.8061304241514671,4.465766671139618,4.396766352426965
DX,Pre-treatment,ENSG00000237476,XXbac-B135H6.15,0.06528454921349347,0.6512954631546446,0.8061304241514671,1.0104334897738405,0.945148940560347
DX,Pre-treatment,ENSG00000162511,LAPTM5,0.007066296485117363,0.6512954631546446,0.8061304241514671,11.392550336017033,11.385484039531915
DX,Pre-treatment,ENSG00000164379,FOXQ1,0.05215703530601101,0.6549592062046726,0.8106030191011453,0.19642343021311356,0.14426639490710255
DX,Pre-treatment,ENSG00000197291,RAMP2-AS1,-0.03045732384274078,0.6555254516538389,0.8112416385828015,0.04087881824828906,0.07133614209102984
DX,Pre-treatment,ENSG00000272824,RP6-74O6.6,0.0598472667312856,0.6563525736517011,0.8120146106682525,0.6319745902209248,0.5721273234896392
