sample_code,Neutrophil,T_cell,Monocyte,B_cell,NK_cell,NLR_score,label,arm
S34_DX,-1.0899444960539217,1.380620904874881,-1.5298969230896975,0.8985189738607913,0.45363147233135503,-2.4705654009288027,0,DX
S35_DX,-0.6155349197962183,0.45433501773440543,-0.5924879494217455,1.4078583432125027,0.41390467076295756,-1.0698699375306238,0,DX
S41_DX,-2.0740943447582305,2.3922856938464356,-1.3197806852188816,1.6790245266465644,1.1393753683181487,-4.466380038604666,0,DX
S42_DX,-0.05747280114920454,0.35125812067231654,0.1697445598062708,0.5926446517044689,-0.6775159536326544,-0.4087309218215211,0,DX
S43_DX,0.28894678782576394,0.05431950343986174,-0.3466463540331627,0.2145164398408442,0.2250364227279134,0.2346272843859022,1,DX
S49_DX,0.5409203767851144,-0.4357998011114759,0.11152212476585521,0.5672246153024697,0.048326005149704115,0.9767201778965904,0,DX
S50_DX,-0.18616220118024196,0.2098685926600254,0.8075516547318243,1.780820910297865,-1.0395030971348282,-0.39603079384026735,0,DX
S51_DX,-0.610268715879908,0.0276295233223618,0.964631592477989,-1.251438741458572,0.14678452063847144,-0.6378982392022698,0,DX
S52_DX,0.48999172971294386,-0.07976165949200317,1.268720964672116,-0.8006447077384298,-0.4816892997136939,0.569753389204947,0,DX
S53_DX,0.20552154184301577,-0.046947887109678364,0.8948763463181798,-0.3699604248646156,-0.10435275794354743,0.25246942895269414,0,DX
S54_DX,0.8239771686119927,-1.8176948371277095,-0.5596889739859356,-0.10731978374374358,-1.3512344249840083,2.6416720057397023,0,DX
S70_DX,-0.9439911448063016,0.56948112637242,-0.05706072637776105,0.6835208188840628,0.3477360200721576,-1.5134722711787216,0,DX
S71_DX,0.278356585414036,-0.10918715462366035,0.4714488758023615,0.2202087092182654,0.3364706945091421,0.38754374003769637,0,DX
S73_DX,-0.172993286359285,1.5035834317433852,-1.1263696599180533,0.7875896895423317,-0.2129015869590113,-1.67657671810267,0,DX
S76_DX,0.43844333504204497,-0.2750040268208503,-0.2536963362026644,-0.9786572947196498,0.65732538386483,0.7134473618628953,0,DX
S77_DX,0.010337968025145916,-0.33360584459450754,0.3024641186524529,-0.7868188635919942,0.25451547350964554,0.34394381261965346,0,DX
S78_DX,-0.06869248377585303,0.38245808325888825,-0.3053214446288983,-1.3912236281933728,-0.08474443634987103,-0.45115056703474127,0,DX
S7_DX,-0.12730418718128003,-0.3962066371196706,-0.37170474513192253,0.12441783139049929,1.480778638920863,0.2689024499383905,0,DX
S81_DX,0.7006015356515083,-0.6966937386873183,0.7521576223147317,-0.9168066130421547,-0.8889696276485347,1.3972952743388265,0,DX
S83_DX,-0.5575459689181199,0.054971866189564164,0.6149915037862969,0.7022462910420129,-1.1101541729277866,-0.6125178351076841,0,DX
S84_DX,0.09744075386574738,-0.2552277534629555,0.29022693922488635,-0.39351599774411655,-0.4456720579266509,0.3526685073287029,0,DX
S85_DX,0.20140334893619152,-0.4276235706770627,0.7154241185478531,0.07089870611345438,-0.19106403835173755,0.6290269196132542,0,DX
S86_DX,0.7465650215102049,-0.30666887190116343,-0.30085631960029613,0.20382436336284074,-0.008999865930325035,1.0532338934113683,0,DX
S87_DX,0.13207102468974957,0.11184611978018377,-0.010422367595864583,0.8616592107492497,-0.9548175158943795,0.0202249049095658,0,DX
S88_DX,-1.0852429720032315,1.6127041974863432,-1.008894970765448,0.6499354536499912,1.3719839248919348,-2.6979471694895745,0,DX
S89_DX,-0.49846213339200884,1.17308330024321,-1.2073280176398573,1.2064137908880503,0.5260818656132121,-1.671545433635219,0,DX
S90_DX,-0.2211759982877325,0.3587934076051935,-0.5710781285193577,0.5094660992749337,-0.19149464087676113,-0.579969405892926,0,DX
S91_DX,0.20786785972589264,-1.7145541954617554,-0.12551244489738503,-2.0799917834777735,-0.41294865523791635,1.922422055187648,0,DX
S92_DX,0.1811298914118892,-1.5741192530805388,0.11748991836608803,-0.7228569214557194,-0.8345085901877138,1.755249144492428,0,DX
S93_DX,-0.06455981277078611,1.1387011804886311,-1.58172960742494,0.6754469313698378,1.0065803327018368,-1.2032609932594172,0,DX
S95_DX,-0.4186106001975168,-0.8231667002605382,0.624035233443441,-1.3961973903733298,0.658396356525316,0.4045561000630214,0,DX
S98_DX,0.2467455664056844,0.038101828087391945,-1.4747600028540488,-0.30838200749719547,0.5692052084395215,0.20864373831829247,0,DX
S99_DX,-0.05525306140575099,0.24527338507781724,0.985271061290965,-0.9437575319671693,-0.06758360209970501,-0.30052644648356824,0,DX
S9_DX,-0.31869369282349297,-0.6186044322483488,0.3339649574567122,1.101603432492369,-0.3710566739027318,0.29991073942485585,0,DX
S100_day_7,-0.8566960564867168,1.4886414376582633,-0.618797023779687,-0.0005352980892787962,0.9338190272469957,-2.34533749414498,0,day_7
S101_day_7,-0.3441284502563282,0.21912083121566156,0.2027739380017049,0.48437842076052157,0.06571506347151772,-0.5632492814719898,0,day_7
S102_day_7,-0.2740829847519913,0.5303770339476592,-0.08206397640508027,0.30633859820730486,0.5310970228087359,-0.8044600186996504,0,day_7
