ensembl,mean_failure,mean_cure,log2FC,p_value,rank_biserial,fdr,gene_symbol
ENSG00000135048,2.0058243066781336,1.9942811776190383,0.008326411057216482,0.6156920008984262,-0.11876075731497426,0.8374312853224096,CEMIP2
ENSG00000161381,1.348883293165026,1.4070176050462355,-0.06087484993930728,0.6156920008984262,0.11876075731497415,0.8374312853224096,PLXDC1
ENSG00000109667,1.2959143747714141,1.2631707632873346,0.03692071303739775,0.6156920008984262,-0.11876075731497426,0.8374312853224096,SLC2A9
ENSG00000079257,1.0778582945063702,1.0473931727492214,0.041364414146108634,0.6156920008984262,-0.11876075731497426,0.8374312853224096,LXN
ENSG00000170004,2.1287577438591003,2.1420668696212655,-0.008991739825484938,0.6156920008984262,0.11876075731497415,0.8374312853224096,CHD3
ENSG00000164002,1.1975412629638724,1.2205541142168586,-0.027460892623068167,0.6156920008984262,0.11876075731497415,0.8374312853224096,EXO5
ENSG00000146376,1.5507736633450262,1.5613599730780368,-0.009815051174201833,0.6156920008984262,0.11876075731497415,0.8374312853224096,ARHGAP18
ENSG00000109956,1.5502352380598954,1.5509781699353777,-0.0006912288909406896,0.6156920008984262,-0.11876075731497426,0.8374312853224096,B3GAT1
ENSG00000125652,1.8440781764248284,1.8371760236512495,0.005409956878727972,0.6156920008984262,-0.11876075731497426,0.8374312853224096,ALKBH7
ENSG00000137094,0.7921737288434029,0.9266856442717689,-0.22626316472488542,0.6156920008984262,0.11876075731497415,0.8374312853224096,DNAJB5
ENSG00000124486,2.039686943656762,2.0374244652516587,0.0016011663068473457,0.6156920008984262,-0.11876075731497426,0.8374312853224096,USP9X
ENSG00000196652,1.5596053643771108,1.5633403302030773,-0.003450856830481485,0.6156920008984262,0.11876075731497415,0.8374312853224096,ZKSCAN5
ENSG00000165660,1.672971703554644,1.6673019184784903,0.0048976698251351385,0.6156920008984262,-0.11876075731497426,0.8374312853224096,ABRAXAS2
ENSG00000136379,0.915409165153993,0.8322153293452932,0.13745987327391557,0.6156920008984262,-0.11876075731497426,0.8374312853224096,ABHD17C
ENSG00000170634,1.1329259857190965,1.1408868915686197,-0.010102156094703576,0.6156920008984262,0.11876075731497415,0.8374312853224096,ACYP2
ENSG00000218537,0.931912999595885,0.9028262217244885,0.04574695490497645,0.6156920008984262,-0.11876075731497426,0.8374312853224096,MIF-AS1
ENSG00000183011,1.6750079518656802,1.6527935763611,0.01926139232499255,0.6156920008984262,-0.11876075731497426,0.8374312853224096,NAA38
ENSG00000170881,1.7771636016270569,1.7653496295944053,0.009622559425266021,0.6156920008984262,-0.11876075731497426,0.8374312853224096,RNF139
ENSG00000134321,2.129402797271761,2.0980980786822485,0.021366755013483184,0.6156920008984262,-0.11876075731497426,0.8374312853224096,RSAD2
ENSG00000141905,1.9112449887865868,1.9071946262259947,0.0030606429629238497,0.6156920008984262,-0.11876075731497426,0.8374312853224096,NFIC
ENSG00000109790,1.6335468523638503,1.6155122589788429,0.016016135595567936,0.6156920008984262,-0.11876075731497426,0.8374312853224096,KLHL5
ENSG00000109929,1.0937116582149555,1.1100678726709432,-0.02141544779984062,0.6156920008984262,0.11876075731497415,0.8374312853224096,SC5D
ENSG00000143256,1.4332721429217667,1.4186894911582935,0.014753706688464098,0.6156920008984262,-0.11876075731497426,0.8374312853224096,PFDN2
