sample_id,Neutrophil,T_cell,Monocyte,B_cell,NK_cell,NLR_score,y
GSM2369988,0.19717987563221775,0.24940556468785893,0.5978675559018318,0.6693339982177812,-0.3012018616903339,-0.05222568905564118,0
GSM2369996,0.4904085925755003,-0.9571495582284816,0.6002508405719479,-0.7633124109066665,-0.9408054888281322,1.4475581508039819,0
GSM2370004,-1.538361291169253,0.7957826400834079,-0.714871325300347,0.25851269407959604,-0.3432558711881178,-2.334143931252661,0
GSM2370012,-0.23157901782505852,-0.4181715032221519,0.45051787847794666,-0.796395209272804,0.40146702376767435,0.1865924853970934,0
GSM2370028,0.5929527015108691,1.1857605260909503,-0.8403114325475425,-0.02384638877192047,0.6028438227228862,-0.5928078245800812,0
GSM2370036,0.40823719728862107,0.05998569454933912,0.30127715097665475,-0.3369763850994891,-1.031098043584803,0.34825150273928196,0
GSM2370044,-0.3788680036497133,1.0496916382103494,-0.3252370703267313,0.5322549392043168,-0.09957467916316246,-1.4285596418600628,0
GSM2370052,-0.371985063580844,0.17102476183021315,-0.0027363067266124278,0.2106653240400218,-0.7604828031928831,-0.5430098254110571,0
GSM2370060,0.3032642203780743,-0.06388833255888772,-0.11412562351266622,0.46271618384673935,-0.7800530354940126,0.36715255293696203,1
GSM2370080,-0.3902575446258127,0.5695572588294951,-0.3920315290952584,-0.35905663655845776,1.0763436962743733,-0.9598148034553078,0
GSM2370088,0.6980154871434688,0.4241253304861962,0.5746672699548591,-0.13738101641756373,0.09171306855290906,0.2738901566572726,1
GSM2370096,0.35807026431318795,-0.3455676313572276,0.37476981073560983,-0.812760124785766,0.06601319577795049,0.7036378956704156,1
GSM2370104,-0.2882663293376809,-0.9972328140193538,1.2068678695620203,-0.5388209237507481,-0.3321933111046423,0.7089664846816729,0
GSM2370112,-0.12054074601191073,0.24647455981618488,0.8014014855617303,-0.7591627752658251,0.4538371955835857,-0.3670153058280956,0
GSM2370198,0.762334927687804,-1.9628340926322971,0.7745062990001307,-3.6298724658482695,-2.524880152256904,2.7251690203201013,1
GSM2370244,0.36985795933961085,-1.5692839445281195,1.009419717503981,-1.4273028210494647,-1.2317383816346497,1.9391419038677302,0
GSM2370274,-0.65583565777879,0.5340310438057477,-0.287907374366859,0.22950460656059649,0.15387696946729093,-1.189866701584538,1
GSM2370288,-0.29025025958667366,0.5406512044477283,0.2273247732331115,0.6858389417538584,0.3176268652275974,-0.8309014640344019,0
GSM2370296,-0.3573991022121331,0.12975714389542528,-0.45308798856959087,0.20579400929665972,-0.8795810460802519,-0.48715624610755837,0
GSM2370304,1.4266771244549257,-0.5846984757474859,0.4772541907072857,-0.981400705320029,0.286596728199026,2.0113756002024115,1
GSM2370312,1.1180229265942603,-0.4754925512344427,1.0726521255293118,-1.9204189253368948,0.034235016551117096,1.5935154778287028,0
GSM2370322,-0.3143000386201568,0.5302720636046474,-0.8032687179946101,1.1044904421231088,-0.188412047094056,-0.8445721022248043,0
GSM2370330,-1.1504689231052514,1.3503145343834309,-1.5501804210019867,0.8034713488589645,0.2652342289436242,-2.5007834574886822,0
GSM2370338,-0.6110121417523798,0.5965904066471365,-0.5152354831867305,1.3990824128468695,0.504693237712185,-1.2076025483995163,0
GSM2370350,-2.7114725235325525,2.023755106646445,-2.079566084082014,1.2621903765294264,0.653141687454731,-4.735227630178997,0
GSM2370358,0.0829751124833569,0.654444934127174,0.40594396567045626,0.7810496680652926,-0.7383111207104482,-0.5714698216438171,0
GSM2370366,0.2180861819154765,-0.010625764398196564,-0.3780579155366063,0.2235807510933134,0.08625743921157598,0.22871194631367306,1
GSM2370372,0.4550398415054172,-0.6238556692150928,0.21999877938722037,0.5734721624582162,0.08129161991851215,1.07889551072051,0
GSM2370384,-0.3633112489515183,-0.16350662605451222,0.16601169096183532,1.485560726659396,-1.4295038036804724,-0.19980462289700607,0
GSM2370392,-0.4395694685471921,0.16269079001537565,0.6610891685468638,-1.3227818130903373,0.37917971852108334,-0.6022602585625677,0
GSM2370400,0.40640484906222313,-0.25205357643428294,0.859204506200945,-0.9508091306352563,-0.637208145193813,0.658458425496506,0
GSM2370408,0.18877573487414645,-0.1602687948741639,0.567470721232799,-0.4190247844703547,-0.10803742986307104,0.34904452974831035,0
GSM2370416,1.0882388529510034,-1.4948784828026078,0.5138174169222156,0.43118175214179094,-1.018955066449411,2.5831173357536112,0
GSM2370428,-0.91565634943578,0.7325089954427784,-0.2539295966061158,0.7774900210889909,0.32468012847955635,-1.6481653448785583,0
GSM2370436,0.16957977453514972,-0.3135227747255119,0.16932436606205684,0.17314571976112947,0.33267565802692467,0.4831025492606616,0
GSM2370450,-0.4334231251619539,1.1893090290028852,-1.3449163605821386,0.5236141476992126,-0.7687169868894018,-1.6227321541648392,0
GSM2370458,0.379257531518759,-0.4175656039322174,-0.1556889158707426,-1.11345695695717,0.5926719302522196,0.7968231354509765,0
GSM2370466,0.01922863786144636,-0.5444000710060558,0.1010663311158568,-0.9188287808603087,0.2620556307785357,0.5636287088675022,0
GSM2370474,0.003760330020675561,0.48777347364974,-0.25371343307088556,-1.5765217169009471,-0.0007143804078349866,-0.48401314362906445,0
GSM2370482,-0.1345612770459304,-0.44525526957329503,0.0201256578623016,0.23679040351058409,1.6805356344308475,0.3106939925273646,0
GSM2370498,0.7541570741136585,-0.6757431731173634,0.870400955340024,-0.8574236616366182,-0.7327481570605558,1.4299002472310218,0
GSM2370506,-0.6681327598298312,-0.2207457791752259,0.1292029891191092,0.5939435847017582,-1.8385026196219878,-0.44738698065460536,0
GSM2370514,0.20089215483123302,-0.2170756332263797,0.4555373356554388,-0.3055805760128572,-0.1497216337710605,0.4179677880576127,0
GSM2370522,0.36133541955146786,-0.3023266403957581,0.731309353845909,0.25507726494275323,0.07200549413229566,0.6636620599472259,0
GSM2370528,0.6764320768674685,-0.33996119958097537,-0.12415814147194218,0.279530126605492,0.14604575025806493,1.016393276448444,0
GSM2370534,0.07965111609583417,-0.036889372902548616,-0.09014907256224115,0.8036769606374157,-1.4894287581511048,0.11654048899838279,0
GSM2370540,-1.5372102847203464,1.3401080154259064,-1.3446177456341166,0.3817703667567279,1.111111491832856,-2.8773183001462526,0
GSM2370548,-0.5824495874207514,1.1801999239920604,-1.1546093799549593,1.1228977752442442,0.24400312277517308,-1.7626495114128118,0
GSM2370556,-0.23839321954662895,0.3387580609852166,-0.5738769766009237,0.5042521663458089,-0.30885652662214674,-0.5771512805318455,0
GSM2370564,0.5143189830859212,-1.3562422352087098,0.7652269684251283,-1.9945194524361032,0.3226317831690927,1.870561218294631,0
GSM2370572,0.4492894183576849,-1.5112692775610577,0.505399560926808,-0.42795782256670933,-0.3826995530149456,1.9605586959187424,0
GSM2370580,-0.27090433438739353,1.0030250858885152,-1.5937329928026296,0.541950226941343,0.6519164063285893,-1.2739294202759088,0
GSM2370588,-0.3814543838212023,-0.8421357498025281,0.6329630156753683,-1.4735120760461202,0.860177056447376,0.46068136598132586,0
GSM2370596,0.3700028923853952,0.44643240470071566,-0.38012448294437334,-0.01865091304594288,1.1228386236257386,-0.07642951231532047,0
GSM2370604,0.14216367653100986,0.5463260244309545,0.9146673246894953,-0.8545886305891287,0.3057458077326825,-0.4041623478999446,0
GSM2370612,-0.4874290497472464,-0.7189044076416075,0.3949893037566239,1.1272518624046488,-0.29247794316080106,0.23147535789436108,0
