ensembl,gene_symbol,mean_failure_log2,mean_cure_log2,log2FC,p_value,fdr
ENSG00000005075,POLR2J,5.475194893276375,5.113340198654752,0.36185469462162256,0.0025077861298140923,0.4539131519947744
ENSG00000070915,SLC12A3,-2.2459997818710904,-1.0790676288388155,-1.166932153032275,0.0025077861298140923,0.4539131519947744
ENSG00000136811,ODF2,4.633969939337324,4.863591726471933,-0.2296217871346089,0.0026673629025817567,0.4539131519947744
ENSG00000102978,POLR2C,6.5772993778616256,6.332062426031812,0.24523695182981342,0.0026673629025817567,0.4539131519947744
ENSG00000140598,EFTUD1,3.4860513227978487,3.6976826557902402,-0.21163133299239156,0.0026673629025817567,0.4539131519947744
ENSG00000117868,ESYT2,6.142651023607942,6.483277584936623,-0.34062656132868074,0.0028355249752697476,0.4539131519947744
ENSG00000142552,RCN3,5.204800594417565,4.684372159126797,0.5204284352907678,0.0028355249752697476,0.4539131519947744
ENSG00000148606,POLR3A,3.9590295939191646,4.124220265208643,-0.16519067128947817,0.0028355249752697476,0.4539131519947744
ENSG00000239732,TLR9,1.8700831134959628,1.4215778821005893,0.44850523139537346,0.0028355249752697476,0.4539131519947744
ENSG00000106330,MOSPD3,4.763597089305287,4.432011080092851,0.33158600921243586,0.0030126575513759876,0.4539131519947744
ENSG00000187456,,-3.7284117127799763,-2.539521463660064,-1.1888902491199125,0.0030126575513759876,0.4539131519947744
ENSG00000174151,CYB561D1,6.296088022472276,6.09989240416032,0.19619561831195576,0.0030126575513759876,0.4539131519947744
ENSG00000089091,DZANK1,-0.17004320797981323,0.49921725455748067,-0.6692604625372939,0.0030126575513759876,0.4539131519947744
ENSG00000176092,AIM1L,1.0289034646185449,0.5081690386954932,0.5207344259230516,0.0030126575513759876,0.4539131519947744
ENSG00000237441,RGL2,8.090307072191733,7.810479613333195,0.2798274588585379,0.0030126575513759876,0.4539131519947744
ENSG00000117410,ATP6V0B,8.906770332644417,8.623841437992217,0.2829288946521995,0.003199139677566951,0.4539131519947744
ENSG00000186529,CYP4F3,7.994552927312236,7.3789182910890885,0.615634636223148,0.003199139677566951,0.4539131519947744
ENSG00000082516,GEMIN5,3.258986105556097,3.5293303271061034,-0.2703442215500065,0.003199139677566951,0.4539131519947744
ENSG00000222112,RN7SKP16,-0.2928033411261893,-1.0669184324337662,0.7741150913075769,0.003199139677566951,0.4539131519947744
ENSG00000237879,LINC00398,-1.2941702787144789,-2.1223317285912153,0.8281614498767365,0.003199139677566951,0.4539131519947744
ENSG00000157916,RER1,7.493879625739251,7.334024089104989,0.15985553663426266,0.0033953809169780243,0.4539131519947744
ENSG00000112486,CCR6,2.7368477195548926,3.365662687588888,-0.6288149680339954,0.0033953809169780243,0.4539131519947744
ENSG00000136305,CIDEB,2.2606351021733597,1.8715416278113945,0.3890934743619652,0.0033953809169780243,0.4539131519947744
ENSG00000221869,CEBPD,8.98536476145841,8.456402736060843,0.5289620253975666,0.0033953809169780243,0.4539131519947744
ENSG00000180316,PNPLA1,3.020997468631711,2.370071241832729,0.6509262267989819,0.0033953809169780243,0.4539131519947744
ENSG00000158156,XKR8,7.2068667708445995,6.8894784296910965,0.317388341153503,0.0033953809169780243,0.4539131519947744
ENSG00000128594,LRRC4,7.003396036535967,6.414606395942145,0.5887896405938218,0.003601786014354765,0.4539131519947744
ENSG00000128829,EIF2AK4,3.9384431932656,4.224599965970045,-0.28615677270444495,0.003601786014354765,0.4539131519947744
ENSG00000138002,IFT172,1.92384682561334,2.3230662725798337,-0.3992194469664936,0.003601786014354765,0.4539131519947744
ENSG00000166197,NOLC1,5.087343994878793,5.372488495566353,-0.2851445006875597,0.003601786014354765,0.4539131519947744
ENSG00000183784,C9orf66,2.035405117774416,1.504507408502945,0.5308977092714708,0.003601786014354765,0.4539131519947744
ENSG00000171603,CLSTN1,5.997766527312955,6.329360636916064,-0.33159410960310964,0.003601786014354765,0.4539131519947744
ENSG00000182809,CRIP2,1.8784548496670557,3.0174685450073153,-1.1390136953402596,0.0038187896955349946,0.4539131519947744
ENSG00000167434,CA4,5.810660593040438,5.053089171250641,0.7575714217897964,0.0038187896955349946,0.4539131519947744
ENSG00000088812,ATRN,3.9407173880658104,4.240047506558435,-0.2993301184926245,0.0038187896955349946,0.4539131519947744
ENSG00000264508,,-1.9529661194482641,-3.0270366602439815,1.0740705407957174,0.0038187896955349946,0.4539131519947744
ENSG00000084090,STARD7,6.5594113872610675,6.7111615201036425,-0.151750132842575,0.0038187896955349946,0.4539131519947744
ENSG00000145996,CDKAL1,3.0578040424219854,3.2871354872626104,-0.22933144484062495,0.0038187896955349946,0.4539131519947744
ENSG00000124942,AHNAK,8.31175195451604,8.750649049912193,-0.4388970953961522,0.0038187896955349946,0.4539131519947744
ENSG00000151952,TMEM132D,0.4465480886363986,-0.3217515935698256,0.7682996822062242,0.0038187896955349946,0.4539131519947744
ENSG00000178217,SH2D4B,-1.3112566797871068,-2.082655154265031,0.7713984744779241,0.0038187896955349946,0.4539131519947744
ENSG00000261218,RP11-960L18.1,1.9462727887753686,1.347513061736904,0.5987597270384646,0.004046821867966707,0.4539131519947744
ENSG00000184489,PTP4A3,6.416376853008737,5.857389400399864,0.5589874526088732,0.004046821867966707,0.4539131519947744
ENSG00000006327,TNFRSF12A,2.814632355462193,2.3743493738050048,0.44028298165718827,0.004046821867966707,0.4539131519947744
ENSG00000131378,RFTN1,5.256971629351936,5.603830499512176,-0.34685887016024,0.004046821867966707,0.4539131519947744
ENSG00000188938,FAM120AOS,5.283699900809125,5.101188550125215,0.18251135068391022,0.004046821867966707,0.4539131519947744
ENSG00000234917,RP5-994D16.3,-4.663265566566453,-3.550787808040949,-1.1124777585255043,0.004046821867966707,0.4539131519947744
